Open Source,Country,Yearly Salary in USD
No,United Kingdom,48616
No,India,8610
Yes,United Kingdom,173630
No,United Kingdom,48616
No,United States,130000
Yes,United States,73000
No,United States,105000
Yes,Spain,31821
Yes,Israel,204797
Yes,Australia,79973
Yes,Germany,48955
No,India,8923
No,United States,100097
No,Australia,115961
Yes,United States,100000
No,United States,62000
No,United States,100000
Yes,Russian Federation,0
No,United States,89000
Yes,United States,120000
Yes,Germany,61194
No,India,0
Yes,United States,115000
Yes,India,3444
Yes,United States,100000
Yes,United Kingdom,62507
No,United States,68000
No,Canada,76495
Yes,United Kingdom,52783
No,Spain,34269
Yes,India,9393
Yes,United Kingdom,62507
No,Germany,57522
Yes,United States,125000
Yes,United States,57000
Yes,United States,35000
Yes,India,6575
No,Switzerland,114696
No,United States,103000
No,United States,70000
No,United States,120000
No,Mexico,38676
No,United States,110000
No,Canada,71664
No,India,11741
No,United States,150000
Yes,Norway,102018
No,United States,99000
No,Norway,90541
No,United Kingdom,90288
Yes,United Kingdom,52783
Yes,United States,38000
Yes,Greece,15421
Yes,United Kingdom,62507
Yes,United Kingdom,38893
Yes,Norway,146652
No,United States,90000
Yes,United States,152000
No,India,31309
Yes,Australia,95968
No,United Kingdom,41671
No,United States,91068
No,United States,105000
Yes,India,0
No,United Kingdom,65285
Yes,United States,118000
Yes,Germany,101582
Yes,Australia,59980
Yes,United States,75000
Yes,India,7946
No,United States,145000
Yes,India,23482
Yes,Germany,73433
No,United Kingdom,54173
Yes,Canada,0
Yes,United States,67000
No,India,46963
No,United Kingdom,43060
Yes,Australia,83172
Yes,Canada,60391
Yes,Switzerland,112611
No,United Kingdom,20836
No,France,52627
No,France,52627
No,Italy,47731
Yes,India,15654
Yes,France,0
No,Germany,52627
No,United Kingdom,34726
No,Canada,46702
No,Germany,73433
Yes,United States,153500
No,United States,74000
Yes,United States,71000
Yes,United States,250000
No,Norway,89266
No,United States,110000
No,United States,115000
No,United Kingdom,48616
No,India,8610
Yes,United States,145000
No,United Kingdom,29170
Yes,China,46750
No,Germany,79552
Yes,Norway,89266
No,United States,85000
No,Norway,56110
No,United States,96000
No,United Kingdom,31948
No,France,39164
Yes,United States,150000
Yes,United States,200000
Yes,Germany,61194
No,Switzerland,130337
No,Ireland,58746
No,Netherlands,48955
No,Spain,37940
Yes,United States,90000
Yes,India,43832
No,Canada,36235
No,United States,150000
No,India,18785
Yes,India,109581
No,Netherlands,80776
Yes,Canada,88573
Yes,United Kingdom,86676
Yes,United Kingdom,69452
No,Malaysia,27307
No,Germany,14687
No,Italy,39164
Yes,United States,125000
No,Canada,60391
No,United States,95000
No,Germany,61194
Yes,United States,125000
Yes,Canada,48313
Yes,United States,97500
No,Hungary,20836
No,United Kingdom,35421
Yes,United Kingdom,159740
Yes,United States,162000
Yes,France,53851
No,United States,76000
No,United States,85000
Yes,United States,100000
Yes,United Kingdom,46383
No,United States,62500
Yes,United States,152000
Yes,India,8610
No,United States,74000
Yes,Germany,91791
Yes,United Kingdom,97233
No,United States,100000
No,United Kingdom,31253
No,United Kingdom,55562
Yes,United States,111000
Yes,United States,104000
No,Germany,84448
No,Germany,67313
Yes,United States,74000
No,United States,135000
Yes,United States,150000
No,Germany,85671
Yes,New Zealand,70161
No,United States,116000
Yes,United States,145000
No,United Kingdom,30559
Yes,United States,120000
Yes,United States,85000
No,United States,80000
No,Germany,63642
Yes,United Kingdom,71883
No,United States,65000
No,France,51403
No,Australia,43985
No,United States,210000
Yes,Sweden,76353
No,United Kingdom,48894
No,United States,135000
Yes,United States,120000
No,United States,130000
No,United States,90000
No,Australia,62379
Yes,United States,29000
No,Argentina,33170
No,United States,25047
Yes,United Kingdom,36810
No,United States,147000
No,Canada,60391
No,India,29743
Yes,United States,300000
No,United Kingdom,33337
No,United Kingdom,54173
Yes,United States,40000
No,United States,100000
No,United States,160000
No,Germany,68537
No,Germany,44060
No,United States,65000
No,France,46507
No,United States,130000
No,United Kingdom,29864
No,United States,40000
No,United States,120000
No,Germany,73433
Yes,United States,52000
Yes,Hungary,34538
No,Norway,82890
No,United States,105000
No,Canada,104678
No,India,31309
Yes,Canada,48313
Yes,United Kingdom,138904
No,United States,68000
No,United States,75200
Yes,United States,150000
Yes,United States,55000
Yes,United States,68000
No,United States,105000
No,United Kingdom,52089
Yes,United States,114999
No,United States,39000
Yes,United States,67000
Yes,Austria,67313
No,United Kingdom,41671
No,United States,85000
Yes,United States,53500
Yes,United States,117640
Yes,Finland,41612
No,United States,53000
Yes,India,3131
Yes,United States,85000
Yes,Greece,14687
No,Ghana,18441
Yes,United Kingdom,695
Yes,United States,195000
No,Switzerland,23044
No,United Kingdom,50700
No,United Kingdom,66674
Yes,United States,57000
No,United States,0
No,United Kingdom,113901
No,Canada,36798
No,Belgium,97910
No,Australia,51983
No,Canada,37040
Yes,United Kingdom,75008
No,Spain,40388
Yes,India,11271
Yes,Australia,83972
Yes,Germany,73433
No,Spain,37451
No,United States,0
No,United States,48300
No,Netherlands,75880
Yes,India,14872
No,Lithuania,14687
No,Ireland,42836
Yes,Germany,85671
No,Canada,73274
No,United Kingdom,86120
Yes,United States,180000
Yes,United Kingdom,90288
No,United States,125000
Yes,Canada,38248
No,Ireland,97910
No,United States,88000
No,Austria,122388
Yes,Netherlands,61194
Yes,United States,200000
Yes,United States,78000
Yes,United States,61000
No,United States,72000
No,Germany,39164
Yes,Germany,70985
No,Canada,54755
No,Austria,64866
No,United States,68640
Yes,United States,120000
Yes,Germany,56298
Yes,Poland,102925
No,India,12680
Yes,Germany,70985
Yes,Switzerland,78202
No,United States,125000
Yes,United States,140000
No,Singapore,56779
No,United States,150000
Yes,United States,100000
No,Spain,39164
No,United Kingdom,55562
No,Spain,26925
No,India,2348
No,United States,80000
Yes,United States,154500
No,Poland,139095
Yes,India,12524
Yes,Australia,63979
Yes,China,46750
No,United States,55000
No,United States,100000
Yes,United States,80000
No,Ireland,97910
No,United States,73000
No,United States,50000
No,United States,14900
No,United States,70000
Yes,Germany,75880
Yes,United Kingdom,63896
No,United States,125000
No,United States,33000
No,Canada,88573
Yes,China,4
No,Canada,53949
No,Spain,26925
Yes,United States,147000
Yes,Australia,111963
No,United States,210000
Yes,United States,65000
No,Spain,53361
No,Switzerland,90714
No,United States,100000
Yes,United States,84000
No,United States,98000
No,New Zealand,73084
No,United States,80000
No,United States,125000
Yes,United States,115000
Yes,India,12524
Yes,United States,149000
Yes,United States,145000
No,United States,65000
Yes,Canada,1771
Yes,United States,80000
Yes,United States,165000
No,India,6575
Yes,Australia,83972
Yes,United States,87000
No,Switzerland,125123
No,Norway,76514
Yes,Australia,131956
No,United Kingdom,44449
Yes,India,53225
No,Denmark,93196
Yes,United States,81000
No,United States,0
Yes,Germany,63642
No,United States,105000
Yes,Germany,0
No,United States,60000
Yes,Ireland,91791
Yes,Netherlands,53851
No,Canada,56365
Yes,India,0
Yes,Germany,104030
Yes,Canada,80521
No,Norway,45908
Yes,United States,120000
No,United Kingdom,69452
No,United Kingdom,52783
No,United States,66000
No,India,5322
Yes,United States,180000
No,United States,95000
Yes,United States,105000
No,United States,122000
No,India,54790
Yes,Denmark,164366
No,United States,95000
Yes,India,23482
Yes,United States,0
Yes,Germany,58746
No,Canada,80521
Yes,New Zealand,80393
Yes,India,32874
No,Germany,80409
No,United States,75000
No,India,28961
Yes,Colombia,26925
No,United States,55000
No,Spain,25701
Yes,United States,82000
Yes,Spain,0
No,United States,75000
No,Germany,56176
No,Spain,150000
Yes,India,46963
No,United States,73000
No,Italy,35492
Yes,United States,82226
No,United States,137500
Yes,United Kingdom,68063
No,Netherlands,55075
No,Spain,24478
No,United States,133000
Yes,Canada,36235
Yes,Austria,73433
Yes,United Kingdom,90288
No,Germany,77104
No,United States,93000
Yes,United States,175000
Yes,Norway,107119
No,United Kingdom,59729
No,United Kingdom,69452
Yes,Germany,61194
Yes,Canada,92600
No,United States,128000
Yes,Nigeria,6667
No,United Kingdom,41671
No,United States,112000
No,United States,93000
No,United States,40000
Yes,United Kingdom,81953
No,India,23482
Yes,United States,95000
No,United Kingdom,66674
No,United States,68500
No,Switzerland,104374
No,Luxembourg,91791
Yes,United States,152000
No,United States,61500
Yes,France,44060
Yes,United States,180000
Yes,United States,130000
Yes,United Kingdom,94455
No,United States,160000
No,United States,80000
Yes,India,18785
No,India,6653
No,United States,111000
Yes,Germany,66824
Yes,United States,200000
No,United States,154000
Yes,United States,110000
No,Canada,101
Yes,United States,116000
Yes,United States,150000
Yes,United Kingdom,62507
Yes,Ukraine,24000
No,Germany,73433
No,India,14089
Yes,India,7451
No,United Kingdom,49311
No,United States,85000
No,Germany,61194
Yes,Germany,67313
Yes,Germany,95462
Yes,United States,125000
Yes,United States,110000
Yes,New Zealand,61194
Yes,United States,150000
Yes,United States,93000
Yes,United States,150000
Yes,Australia,79973
No,China,31167
No,United States,80000
Yes,United States,87000
No,United States,120000
Yes,Canada,120782
No,United States,120000
No,Australia,115961
No,United States,85000
No,United Kingdom,34726
Yes,United States,0
No,United States,100000
No,United States,110000
Yes,United States,75000
Yes,Germany,90567
Yes,Australia,56781
No,United Kingdom,43755
Yes,United States,175000
No,Singapore,70405
No,United Kingdom,20836
Yes,Portugal,36716
No,United States,127000
No,United States,63000
No,United States,113000
No,Australia,63979
Yes,India,0
Yes,United States,200000
Yes,New Zealand,65776
No,New Zealand,38369
Yes,Norway,80340
Yes,United States,130000
Yes,Bulgaria,65000
No,United States,150000
Yes,United States,16146
Yes,United Kingdom,77786
Yes,Canada,80521
Yes,Netherlands,79552
Yes,United States,76000
Yes,United States,167000
No,United Kingdom,59034
Yes,Bangladesh,30000
Yes,Germany,73433
Yes,United States,125000
Yes,United States,67400
No,United States,63000
No,Germany,79552
Yes,Germany,46507
No,Sweden,137017
Yes,United States,135000
No,France,40388
No,United Kingdom,90288
No,United States,25000
No,United States,47000
No,United States,80000
No,Australia,49983
No,United Kingdom,0
Yes,United States,85000
No,United States,110000
Yes,Canada,0
No,Australia,68777
Yes,Romania,61194
Yes,United Kingdom,69452
Yes,Germany,134627
Yes,Canada,68443
No,France,61194
Yes,United States,130000
No,United States,58000
Yes,United States,125000
No,India,7827
No,United States,120000
No,United States,125000
No,United States,53000
Yes,India,14089
No,Finland,65783
No,Canada,0
No,United States,39500
No,Australia,67418
No,United States,100000
Yes,United Kingdom,69452
Yes,Canada,43482
No,Germany,69761
Yes,Germany,76492
Yes,United Kingdom,37504
No,Spain,33045
Yes,United States,155000
Yes,United States,95000
Yes,Austria,46507
No,Norway,127523
Yes,Germany,0
No,United States,48000
Yes,Canada,50728
Yes,United States,135000
Yes,United States,130000
No,United States,105000
Yes,United States,125000
No,Canada,64417
No,United States,36000
Yes,India,14089
Yes,United States,102000
Yes,New Zealand,71623
No,United States,16000
No,United States,133023
Yes,Canada,36235
No,Spain,26925
No,United States,110000
No,Bulgaria,15002
No,Cyprus,0
Yes,United States,50000
Yes,Australia,103965
No,United States,58600
Yes,United States,120000
Yes,United States,125000
Yes,China,38958
Yes,India,10958
Yes,United States,120000
Yes,United States,107500
No,United States,34000
No,United States,120000
No,Germany,48955
No,Canada,35429
No,United Kingdom,86120
No,United States,110000
No,Canada,73274
No,United States,75200
Yes,Canada,75690
No,United States,129000
No,Canada,86158
No,Bangladesh,50526
No,United States,99000
Yes,Denmark,164366
Yes,Portugal,77104
No,Australia,41586
No,United States,120000
Yes,Netherlands,110149
No,United States,15000
Yes,United States,130000
Yes,Russian Federation,50000
Yes,Canada,88573
No,Canada,40261
No,Cyprus,58746
Yes,United States,90000
No,Spain,67313
No,United Kingdom,97233
No,United States,155000
Yes,India,18785
No,United States,200000
No,United States,0
No,Canada,50326
No,United States,96000
No,United States,55000
No,Australia,45585
Yes,India,6262
Yes,China,46750
No,United Kingdom,62507
Yes,India,17220
No,Germany,55075
Yes,United States,75000
Yes,India,17220
Yes,Spain,61194
No,Germany,79552
No,United States,140000
No,United States,150000
No,Germany,64866
Yes,United States,74000
No,United States,50000
No,Australia,103965
No,Canada,88573
No,France,77104
No,Argentina,64000
No,United States,60000
Yes,Spain,28149
No,United Kingdom,52783
No,United Kingdom,90288
Yes,Germany,57522
No,United Kingdom,39977
No,India,7827
Yes,France,45283
Yes,India,23482
No,United States,70000
No,United States,70000
No,Canada,74080
Yes,Canada,96626
No,United States,130000
No,United States,80000
No,Australia,119960
Yes,Netherlands,53973
No,Canada,64417
No,United States,70000
Yes,France,45283
Yes,United Kingdom,0
No,United States,140000
No,United States,100000
Yes,Germany,61194
No,Canada,48313
Yes,Canada,104678
No,Netherlands,76397
Yes,United States,125000
No,India,10958
No,United States,71500
Yes,United Kingdom,48616
Yes,United States,90000
No,India,25047
No,United States,85000
Yes,United States,54000
No,United States,115000
No,Canada,41871
No,Serbia,73433
No,India,50094
No,United States,0
Yes,Germany,48955
No,South Africa,74167
No,Austria,83224
Yes,United States,147000
Yes,United States,141000
No,United States,57000
Yes,Switzerland,111568
Yes,France,110149
No,United Kingdom,20836
No,United States,72000
No,Japan,35655
No,India,0
No,United States,120000
No,United States,145000
No,United States,101000
No,India,22542
No,Estonia,35835
No,United States,75000
Yes,New Zealand,91355
No,United States,160000
Yes,Australia,143952
Yes,United States,65000
No,Germany,68537
No,India,26612
Yes,Canada,48313
No,United States,105000
Yes,Germany,88119
Yes,United States,28178
Yes,United States,107000
No,Italy,35492
Yes,United Kingdom,69452
Yes,United States,167000
No,United States,160000
Yes,United Kingdom,86815
No,United States,49000
No,United States,220000
No,Australia,39986
No,United States,70000
No,United States,110000
No,United States,70000
No,France,57522
No,United States,125000
No,Netherlands,70985
Yes,United States,110000
No,Canada,28472
No,India,14089
No,United States,42000
Yes,United States,86000
No,United States,108000
Yes,Austria,47731
Yes,Germany,73433
No,Mexico,16115
Yes,United States,125000
Yes,United States,180000
No,Ireland,76492
Yes,Costa Rica,45000
Yes,Belgium,55075
No,Trinidad and Tobago,12000
Yes,Germany,44060
Yes,United States,150000
No,Uruguay,24000
No,United States,73000
No,United States,84000
Yes,Brazil,77979
Yes,Egypt,500
No,Canada,56365
Yes,Bulgaria,18358
No,United States,147000
Yes,United States,105000
No,China,51113
Yes,United Kingdom,27781
Yes,United States,10000
Yes,France,44060
No,Spain,31821
Yes,Canada,52339
Yes,Spain,25701
Yes,India,10175
Yes,Germany,63642
No,France,67313
Yes,United Kingdom,86120
No,United States,84000
No,Portugal,48955
No,United States,75000
No,United Kingdom,61118
No,United States,150000
Yes,United States,85000
Yes,India,13306
No,United States,68000
No,Australia,71976
Yes,Malaysia,63642
No,Australia,55981
No,United States,102000
No,Romania,72525
No,Australia,85572
Yes,Switzerland,62562
Yes,United States,75000
No,Netherlands,44672
Yes,Italy,61194
Yes,United States,180000
Yes,India,3381
No,India,5322
No,United States,75000
Yes,United States,30000
No,United States,70000
No,India,7483
No,Canada,62001
No,Spain,23254
No,United States,73000
No,Canada,24156
Yes,Canada,5153
Yes,United States,90000
No,United States,80000
Yes,Hungary,61194
Yes,Canada,40261
Yes,United States,85000
No,United Kingdom,64868
Yes,Austria,48955
Yes,France,44060
Yes,United States,66000
No,Spain,85671
Yes,United Kingdom,69452
Yes,India,17971
Yes,United States,45000
No,United States,95000
No,United States,50000
No,United States,0
No,Japan,14406
No,United Kingdom,69452
Yes,India,313
No,India,18785
No,Germany,85671
No,France,45283
No,New Zealand,73084
No,United States,80000
Yes,United States,120000
No,India,3500
Yes,United Kingdom,69452
No,United States,70000
Yes,Sweden,64376
Yes,United States,175000
No,Australia,79973
No,United States,120000
No,United Kingdom,55562
No,United States,76000
Yes,United Kingdom,68063
Yes,Australia,127957
No,United Kingdom,69452
No,United States,112000
No,United Kingdom,76397
No,India,12524
No,United States,84000
Yes,United States,61000
Yes,United States,100000
Yes,United States,100000
No,United States,120000
No,United States,80000
Yes,Canada,23081
Yes,United States,110000
No,India,20351
Yes,Germany,95462
Yes,United States,180000
Yes,Australia,119960
No,United States,112000
No,United States,41300
No,United States,110000
No,India,7044
No,Italy,42836
Yes,United States,160000
No,United States,100000
No,Netherlands,146865
No,United States,70500
No,Germany,39164
No,Germany,61194
No,United States,100000
Yes,Finland,75880
Yes,India,17220
Yes,Australia,107964
No,United States,154000
No,United States,65000
No,United States,120000
No,India,16437
Yes,Australia,99967
Yes,France,42836
No,Spain,63642
Yes,Norway,127523
No,United States,105000
No,United States,125000
No,United States,145000
No,Japan,63027
No,Australia,199933
No,Canada,74885
No,Taiwan,36609
Yes,United States,160000
No,Australia,74375
Yes,United States,60000
Yes,Germany,73433
No,Japan,36015
No,United States,101920
Yes,United States,130000
No,United States,80000
No,United States,75000
No,United States,102000
Yes,Argentina,100000
Yes,United Kingdom,76397
Yes,United States,118000
Yes,Germany,73433
No,Australia,84772
Yes,United Kingdom,59729
Yes,United States,66000
No,New Zealand,61031
No,United States,118000
No,Sweden,56142
Yes,Singapore,7570
No,United States,112000
No,United States,145000
Yes,United Kingdom,63896
Yes,United Kingdom,48616
No,Spain,30597
No,United States,90300
Yes,Italy,48955
No,Canada,64417
No,Finland,101582
Yes,United Kingdom,87509
No,Canada,44287
No,United States,80000
Yes,United States,75000
Yes,United States,59800
No,United States,177500
No,United Kingdom,117929
No,United States,44000
No,Netherlands,106918
No,United Kingdom,90288
No,France,54
No,United States,60000
No,United States,70000
Yes,Switzerland,90089
Yes,United States,95000
Yes,Switzerland,113663
No,Estonia,88119
No,United States,40000
Yes,United States,70000
No,United States,70000
Yes,United Kingdom,62507
Yes,Norway,133899
Yes,United States,87000
No,France,46507
No,New Zealand,65776
Yes,United States,130000
Yes,United States,80900
No,United States,137000
No,India,21916
No,Germany,57522
No,United States,98000
Yes,United Kingdom,125014
Yes,United States,80000
No,India,28178
No,Ireland,0
No,United Kingdom,31948
Yes,United Kingdom,118068
Yes,Spain,52627
No,France,59970
No,India,21916
Yes,United States,170000
Yes,United Kingdom,115290
Yes,United Kingdom,127097
No,France,51403
Yes,France,61194
No,United Kingdom,277808
Yes,United Kingdom,90288
Yes,United States,119580
No,Spain,37328
Yes,Germany,56298
No,United States,135000
Yes,India,10958
No,United States,133000
No,Canada,161043
No,Italy,39164
Yes,Australia,84772
No,Germany,74657
No,United States,48000
No,United Kingdom,138904
No,India,0
Yes,France,42836
No,United Kingdom,34031
No,Canada,68443
No,Republic of Korea,60000
Yes,United States,125000
Yes,United States,160000
No,United States,92000
Yes,United States,130000
No,Australia,63979
Yes,Canada,41066
No,United States,3000
No,United States,95000
No,United States,55000
No,United Kingdom,51394
No,United States,155000
No,India,7827
No,United Kingdom,23614
No,United States,156000
Yes,United Kingdom,208356
No,Germany,58746
Yes,Germany,73433
Yes,United States,130000
No,United States,180000
No,Brazil,26825
Yes,United States,140000
Yes,Italy,73433
No,United States,245000
Yes,United States,235000
No,United States,0
Yes,Canada,101457
Yes,United States,176000
No,Ireland,79552
Yes,United States,77000
No,India,21916
Yes,United Kingdom,72230
No,United States,120000
Yes,India,21916
Yes,Australia,103965
No,United States,56000
Yes,Canada,68443
Yes,United States,100000
Yes,Canada,54755
Yes,United States,115000
Yes,United Kingdom,83342
Yes,United States,66300
No,Germany,61194
Yes,United States,100000
No,United States,130000
Yes,Spain,55075
No,United States,129000
No,United States,115000
No,United Kingdom,106956
Yes,United Kingdom,152794
No,Austria,73433
Yes,Ireland,58746
Yes,France,48955
No,United States,106000
No,United States,110000
Yes,United States,95000
Yes,United States,85500
No,Germany,75880
Yes,United States,30
Yes,United States,125000
No,India,39136
Yes,Finland,52627
No,United Kingdom,25003
No,Germany,61194
No,Spain,20194
No,Canada,80521
No,Greece,0
Yes,United States,148000
Yes,Norway,102018
No,Germany,63642
No,United States,127000
No,United Kingdom,66674
No,United States,42000
Yes,Germany,79552
No,United States,100000
No,Slovakia,612
No,United States,125000
Yes,United States,75000
No,Spain,22030
No,United States,94000
No,United States,100000
Yes,United States,90000
Yes,United States,165000
No,United States,115000
Yes,France,52260
No,France,44060
No,Spain,42836
No,Spain,36716
No,Greece,0
No,United Kingdom,56951
No,United Kingdom,40282
Yes,India,29743
No,United States,30000
Yes,Spain,61194
Yes,Germany,73433
Yes,United States,100000
Yes,United Kingdom,90288
No,United States,100000
No,United Kingdom,50005
Yes,Germany,79552
No,United States,85000
Yes,Netherlands,152985
Yes,United Kingdom,65285
Yes,France,52627
No,Canada,48313
Yes,United States,150000
No,Switzerland,99056
Yes,India,6575
No,United States,170000
No,United States,130000
No,Spain,40388
Yes,Norway,72688
No,United States,100000
No,United States,137000
No,United Kingdom,45838
No,United States,97000
No,United States,100000
No,United Kingdom,24308
No,United States,125000
No,India,19318
Yes,United States,130000
No,United Kingdom,31238
No,India,6356
No,United States,144000
No,Cyprus,26313
Yes,Spain,19582
Yes,United States,97536
Yes,Canada,70859
No,Spain,45283
No,Italy,48955
No,United Kingdom,97233
No,United States,45000
No,Switzerland,114696
Yes,France,45283
Yes,United States,77500
No,United States,32000
Yes,Germany,75880
Yes,Germany,66089
No,Spain,34269
No,United States,93000
Yes,United States,110000
Yes,India,62618
No,France,14687
No,France,55075
No,Canada,58378
Yes,United States,130000
No,India,7827
No,United States,130000
Yes,France,42836
Yes,Australia,52543
No,Canada,40261
No,United States,140000
No,United States,110000
No,Australia,143952
Yes,United States,220000
Yes,India,16437
No,Switzerland,85671
No,Germany,91791
No,United States,55000
Yes,Italy,30597
No,United Kingdom,125014
No,Argentina,23500
No,United States,80000
No,United Kingdom,27781
No,United Kingdom,75008
Yes,United States,60000
Yes,France,46507
No,United States,9000
No,United States,68000
Yes,United States,165000
Yes,Germany,89343
Yes,United States,125000
No,United States,95000
No,India,23482
No,United Kingdom,19447
No,United States,80000
No,United States,120000
Yes,United Kingdom,52783
No,United States,61500
No,United States,221000
Yes,India,10958
No,United States,68000
Yes,"Iran, Islamic Republic of...",20000
No,United States,114000
No,United States,55000
No,United States,100000
Yes,India,0
No,United Kingdom,65285
Yes,United States,98000
No,United States,160000
No,South Africa,41204
Yes,Australia,140753
No,Germany,73433
No,Italy,39164
Yes,France,46507
No,United States,166000
Yes,India,3287
Yes,Canada,80521
No,United States,48000
No,Portugal,46875
Yes,United Kingdom,76397
No,United States,63000
Yes,Germany,57522
No,United States,53000
Yes,United States,150000
No,United States,122000
Yes,Germany,83224
Yes,United States,95000
No,Poland,29407
Yes,United Kingdom,55562
No,United States,12400
Yes,United States,130000
Yes,Japan,90039
Yes,United Kingdom,134737
Yes,India,6575
Yes,United States,153000
Yes,India,7608
Yes,United Kingdom,65190
No,United States,50000
No,Portugal,20561
Yes,United States,100000
No,Netherlands,72261
No,United States,70000
Yes,United States,116000
Yes,United States,70000
No,Other Country (Not Listed Above),33045
No,Belgium,63642
Yes,United States,125000
Yes,Canada,80521
No,United States,98000
No,India,7827
Yes,United States,73000
Yes,Germany,75880
Yes,India,13619
Yes,Germany,8567
No,United States,65000
Yes,United States,110000
No,India,11349
No,United States,95000
Yes,United States,145000
No,Germany,66089
No,United States,65000
Yes,Spain,36716
No,Australia,143952
No,United States,50000
No,United Kingdom,59729
Yes,United States,110000
No,United States,65000
Yes,United States,124500
Yes,Netherlands,73433
No,United States,98000
No,United States,66500
No,Malta,33045
No,United States,250000
Yes,Slovenia,14687
Yes,Germany,66089
Yes,Germany,58746
Yes,United States,171000
No,United Kingdom,38893
No,United States,190000
No,France,36716
Yes,United Kingdom,55562
Yes,United States,100000
Yes,Netherlands,1224
